what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1469699911717
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1469699913935
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1469699915839
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1469699917334
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1469699923741
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1469699945535
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1469699949236
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469699952089
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469699959205
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469699961863
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469699964596
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1469699965602
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1469699967038
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1469699968331
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1469699969831
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1469699970063
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1469699970886
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1469699971422
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1469699971794
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1469699972099
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469699972886
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469699976607
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1469699978348
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1469699979126
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1469699979491
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1469699980517
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1469699980660
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469699981984
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1469699993755
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469699995003
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469699997920
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469700032810
